form,section,table_index,row_index,col_index,row_label,cell_label,canonical_path,is_target,cell_role,required,rule,source_evidence,notes
B24,CAR OWNER PERMISSIONS,0,0,1,Tank Car Owner Name,,tco.name,true,target,true,fill_if_confident,TCO permission document,
B24,CAR OWNER PERMISSIONS,0,1,1,Date Permission/Instruction Received from TCO,,tco.permission_date,true,target,true,fill_if_confident,TCO letter/email,
B24,CAR OWNER PERMISSIONS,0,2,1,Written Instructions from TCO,,tco.instructions,true,target,true,fill_if_confident,TCO written instructions,
B24,PITP,1,0,1,PITP Document Name,,pitp.name,true,target,true,fill_if_confident,PITP document,
B24,PITP,1,1,1,PITP ID,,pitp.id,true,target,true,fill_if_confident,PITP document,
B24,PITP,1,2,1,Approved By,,pitp.approved_by,true,target,true,fill_if_confident,PITP approval,
B24,PITP,1,3,1,Date Approved,,pitp.date_approved,true,target,true,fill_if_confident,PITP approval,
B24,PITP,1,4,1,Rev,,pitp.revision,true,target,false,fill_if_confident,PITP revision,
B24,DESIGN CONTROL,2,0,1,Car Mark and Number,,car.mark,true,target,true,fill_if_confident,car stencil / car file,
B24,DESIGN CONTROL,2,1,1,Tank Car Design Specification,,car.design_spec,true,target,true,fill_if_confident,AAR Form 4-2 / drawing,
B24,DESIGN CONTROL,2,2,1,Stencil Specification,,car.stencil_spec,true,target,false,fill_if_confident,stencil record,
B24,DESIGN CONTROL,2,3,1,AAR Form 4-2 (AAR No.),,aar.form_4_2.number,true,target,true,fill_if_confident,AAR Form 4-2,
B24,DESIGN CONTROL,2,4,1,Drawing Number,,drawing.number,true,target,true,fill_if_confident,drawing / AAR Form 4-2,
B24,DESIGN CONTROL,2,5,1,Drawing Revision,,drawing.revision,true,target,false,fill_if_confident,drawing / AAR Form 4-2,
B24,TEST PLATE OR TANK CAR MATERIALS,3,0,1,Tank Plate Material,,materials.tank_plate.material,true,target,true,fill_if_confident,MTR / material cert,
B24,TEST PLATE OR TANK CAR MATERIALS,3,1,1,Tank Plate MTR #,,materials.tank_plate.mtr,true,target,true,fill_if_confident,MTR,
